File	Sample	Latitude	Longitude
1053B_2_S11_L002_R2_001.fastq.gz	1053B	37.2087712	-122.04152
BC1_2_S18_L001_R1_001.fastq.gz	BC1	37.204032	-122.336036
BC1_2_S18_L001_R2_001.fastq.gz	BC1	37.204032	-122.336036
BC2_2_S19_L001_R1_001.fastq.gz	BC2	37.204828	-122.334845
BC2_2_S19_L001_R2_001.fastq.gz	BC2	37.204828	-122.334845
BC3_2_S12_L002_R1_001.fastq.gz	BC3	37.209204	-122.331509
BC3_2_S12_L002_R2_001.fastq.gz	BC3	37.209204	-122.331509
BC4_2_S13_L002_R1_001.fastq.gz	BC4	37.210857	-122.330518
BC4_2_S13_L002_R2_001.fastq.gz	BC4	37.210857	-122.330518
BC5_2_S14_L002_R1_001.fastq.gz	BC5	37.208862	-122.3249
BC5_2_S14_L002_R2_001.fastq.gz	BC5	37.208862	-122.3249
BC6_R1.fastq.gz	BC6	37.207564	-122.325244
BC6_R2.fastq.gz	BC6	37.207564	-122.325244
BC7_2_S15_L002_R1_001.fastq.gz	BC7	37.20507	-122.323114
BC7_2_S15_L002_R2_001.fastq.gz	BC7	37.20507	-122.323114
BC8_S21_L007_R1_001.fastq.gz	BC8	37.203052	-122.324814
BC8_S21_L007_R2_001.fastq.gz	BC8	37.203052	-122.324814
BC9_R1.fastq.gz	BC9	37.204146	-122.330823
BC9_R2.fastq.gz	BC9	37.204146	-122.330823
FL10_R1.fastq.gz	FC10	37.067556	-122.100551
FL10_R2.fastq.gz	FC10	37.067556	-122.100551
FL11_2_S16_L002_R1_001.fastq.gz	FC11	37.067556	-122.100551
FL11_2_S16_L002_R2_001.fastq.gz	FC11	37.067556	-122.100551
FL1_2_S20_L001_R1_001.fastq.gz	FC1	37.052036	-122.087921
FL1_2_S20_L001_R2_001.fastq.gz	FC1	37.052036	-122.087921
FL2_R1.fastq.gz	FC2	37.05344	-122.090266
FL2_R2.fastq.gz	FC2	37.05344	-122.090266
FL3_2_S17_L002_R1_001.fastq.gz	FC3	37.055942	-122.092303
FL3_2_S17_L002_R2_001.fastq.gz	FC3	37.055942	-122.092303
FL4_R1.fastq.gz	FC4	37.053637	-122.090737
FL4_R2.fastq.gz	FC4	37.053637	-122.090737
FL5_2_S18_L002_R1_001.fastq.gz	FC5	37.053637	-122.090737
FL5_2_S18_L002_R2_001.fastq.gz	FC5	37.053637	-122.090737
FL6_R1.fastq.gz	FC6	37.062231	-122.095177
FL6_R2.fastq.gz	FC6	37.062231	-122.095177
FL7_R1.fastq.gz	FC7	37.062231	-122.095177
FL7_R2.fastq.gz	FC7	37.062231	-122.095177
FL8_R1.fastq.gz	FC8	37.063547	-122.096977
FL8_R2.fastq.gz	FC8	37.063547	-122.096977
FL9_R1.fastq.gz	FC9	37.067556	-122.100551
FL9_R2.fastq.gz	FC9	37.067556	-122.100551
NR1_2_S19_L002_R1_001.fastq.gz	NR1	39.188729	-123.705918
NR1_2_S19_L002_R2_001.fastq.gz	NR1	39.188729	-123.705918
NR2_2_S20_L002_R1_001.fastq.gz	NR2	39.188729	-123.705918
NR2_2_S20_L002_R2_001.fastq.gz	NR2	39.188729	-123.705918
NR3_R1.fastq.gz	NR3	39.188729	-123.705918
NR3_R2.fastq.gz	NR3	39.188729	-123.705918
NR4_2_S21_L002_R1_001.fastq.gz	NR4	39.188729	-123.705918
NR4_2_S21_L002_R2_001.fastq.gz	NR4	39.188729	-123.705918
NR5_R1.fastq.gz	NR5	39.188729	-123.705918
NR5_R2.fastq.gz	NR5	39.188729	-123.705918
NR6_2_S21_L001_R1_001.fastq.gz	NR6	39.188729	-123.705918
NR6_2_S21_L001_R2_001.fastq.gz	NR6	39.188729	-123.705918
NR7_R1.fastq.gz	NR7	39.188729	-123.705918
NR7_R2.fastq.gz	NR7	39.188729	-123.705918
NR8_2_S22_L001_R1_001.fastq.gz	NR8	39.188729	-123.705918
NR8_2_S22_L001_R2_001.fastq.gz	NR8	39.188729	-123.705918
NR9_R1.fastq.gz	NR9	39.188729	-123.705918
NR9_R2.fastq.gz	NR9	39.188729	-123.705918
PC2_1_R1.fastq.gz	PC2_1	37.4348	-122.351268
PC2_1_R2.fastq.gz	PC2_1	37.4348	-122.351268
PC2_2_R1.fastq.gz	PC2_2	37.432636	-122.342815
PC2_2_R2.fastq.gz	PC2_2	37.432636	-122.342815
PC2_3_R1.fastq.gz	PC2_3	37.432636	-122.342815
PC2_3_R2.fastq.gz	PC2_3	37.432636	-122.342815
PC_1_R1.fastq.gz	PC_1	37.436663	-122.360498
PC_1_R2.fastq.gz	PC_1	37.436663	-122.360498
PC_2_R1.fastq.gz	PC_2	37.436676	-122.359635
PC_2_R2.fastq.gz	PC_2	37.436676	-122.359635
PC_3_2_S22_L002_R1_001.fastq.gz	PC_3	37.4348	-122.351268
PC_3_2_S22_L002_R2_001.fastq.gz	PC_3	37.4348	-122.351268
